Game Title,Console,Genre,Publisher,Developer,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq
World Soccer Winning Eleven 9,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,8.9,4.06,0.12,0.9,2.26,0.77,2006,769,43
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.1,4.06,2.35,0.03,1.27,0.41,2007,92,5
Namco Museum Vol.3,PS,Misc,Namco,Namco,7.101890450799806,4.05,2.28,0.16,1.55,0.06,1997,175,114
Tekken Tag Tournament,PS2,Fighting,Namco,Namco,8.7,4.05,1.68,0.51,1.51,0.35,2000,175,114
Fallout 3,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.8,4.01,2.18,0.07,1.15,0.61,2008,113,11
The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.2,3.99,1.18,0.0,2.25,0.56,2011,113,11
NBA 2K16,PS4,Sports,2K Sports,Visual Concepts,8.7,3.98,2.56,0.05,0.66,0.71,2015,183,134
Namco Museum: 50th Anniversary,PS2,Misc,Namco,Digital Eclipse,7.101890450799806,3.98,2.08,0.0,1.35,0.54,2005,175,41
Far Cry 5,PS4,Action,Ubisoft,Ubisoft,7.9,3.95,1.44,0.15,1.73,0.62,2018,1012,196
Battlefield 4,PS4,Shooter,Electronic Arts,EA DICE,8.3,3.95,1.4,0.19,1.74,0.62,2013,843,25
Assassin's Creed IV: Black Flag,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.7,3.95,1.34,0.13,1.86,0.62,2013,1012,172
Tony Hawk's Underground,PS2,Sports,Activision,Neversoft Entertainment,8.7,3.9,2.29,0.01,1.17,0.42,2003,1044,52
Just Dance 2014,Wii,Music,Ubisoft,Ubisoft Paris,7.4,3.9,1.91,0.0,1.66,0.33,2013,1012,67
Sports Champions,PS3,Sports,Sony Computer Entertainment,SCE San Diego Studio,7.6,3.88,2.15,0.1,1.13,0.5,2010,568,31
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,9.3,3.85,0.16,1.12,1.89,0.68,2005,769,43
Namco Museum Vol.1,PS,Misc,Namco,Namco,7.101890450799806,3.84,2.12,0.22,1.44,0.06,1996,175,114
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,Traveller's Tales,7.5,3.77,2.4,0.0,1.01,0.36,2008,138,152
The Sims: Unleashed,PC,Simulation,Electronic Arts,Maxis,7.3,3.76,2.03,0.0,1.56,0.17,2002,843,71
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,High Impact Games,8.5,3.76,1.4,0.1,1.4,0.86,2007,568,9
FIFA 17,XOne,Sports,Electronic Arts,EA Canada,8.8,3.71,1.04,0.0,2.4,0.27,2016,843,292
FIFA Soccer 2005,PS2,Sports,EA Sports,EA Canada,8.4,3.7,0.58,0.04,2.48,0.59,2004,540,292
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,Neversoft Entertainment,9.6,3.67,2.13,0.01,1.18,0.35,2002,1044,52
MySims,DS,Simulation,Electronic Arts,EA Redwood Shores,6.7,3.66,1.58,0.08,1.6,0.4,2007,843,58
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,Rockstar Leeds,7.2,3.66,1.65,0.0,1.22,0.79,2005,93,10
SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,Zipper Interactive,8.0,3.65,2.53,0.06,0.81,0.24,2002,568,9
Battlefield 4,PS3,Shooter,Electronic Arts,EA DICE,8.7,3.64,1.31,0.27,1.5,0.55,2013,843,25
Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment,Naughty Dog,9.0,3.65,2.08,0.15,1.09,0.33,2001,568,7
Pro Evolution Soccer 2008,PS2,Sports,Konami,Konami,8.2,3.63,0.05,0.64,0.0,2.93,2008,769,409
FIFA Soccer 10,PS3,Sports,EA Sports,EA Canada,9.0,3.63,0.6,0.05,2.46,0.52,2009,540,292
Guitar Hero: World Tour,Wii,Misc,Activision,Vicarious Visions,8.4,3.62,2.32,0.0,0.96,0.34,2008,1044,91
The Simpsons: Road Rage,PS2,Racing,Electronic Arts,Radical Entertainment,6.1,3.61,2.02,0.0,1.17,0.42,2001,843,47
Star Wars Battlefront,PS2,Shooter,LucasArts,Pandemic Studios,8.1,3.62,1.93,0.03,1.22,0.44,2004,138,33
Doom II,PC,Shooter,GT Interactive,id Software,9.3,3.61,2.05,0.0,1.4,0.16,1994,26,13
Assassin's Creed Syndicate,PS4,Action,Ubisoft,Ubisoft Quebec,8.6,3.6,0.9,0.08,2.06,0.55,2015,1012,14
Star Wars Battlefront II,PS2,Shooter,LucasArts,Pandemic Studios,8.5,3.6,2.18,0.03,1.02,0.37,2005,138,33
Assassin's Creed: Unity,XOne,Action,Ubisoft,Ubisoft Montreal,7.101890450799806,3.58,2.34,0.0,0.9,0.34,2014,1012,172
