Game Title,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq,Console Freq,Genre Freq,Decade,NA Share,EU Share,JP Share,Other Share,Is Recent,Game Quality,Game Quality Encoded
LEGO Batman 2: DC Super Heroes,0.6779878278666451,0.041830708661417325,0.0430327868852459,0.0,0.03756345177664974,0.022435897435897436,2012,0.15819750719079578,0.09817351598173515,0.23433583959899748,0.09267089499647639,2010,0.48837209302325574,0.4302325581395348,0.0,0.0813953488372093,0,High,2
Plants vs. Zombies: Garden Warfare 2,0.6779878278666451,0.042322834645669286,0.04815573770491803,0.0,0.03248730964467005,0.02564102564102564,2016,0.8072866730584851,0.04794520547945205,0.2184628237259816,0.5229034531360113,2010,0.5402298850574713,0.367816091954023,0.0,0.09195402298850575,1,High,2
BioShock: The Collection,0.6779878278666451,0.04183070866141732,0.042008196721311473,0.014084507042253521,0.0284263959390863,0.04487179487179487,2016,0.11505273250239692,0.00228310502283105,0.37886382623224724,0.5229034531360113,2010,0.4767441860465116,0.32558139534883723,0.03488372093023256,0.16279069767441862,1,High,2
Final Fantasy X / X-2 HD Remaster,0.6779878278666451,0.04183070866141732,0.01639344262295082,0.13145539906103287,0.02944162436548223,0.041666666666666664,2014,0.19942473633748803,0.2374429223744292,0.283625730994152,0.5246652572233967,2010,0.18604651162790697,0.3372093023255814,0.32558139534883723,0.15116279069767444,0,High,2
Rocky,0.6779878278666451,0.04183070866141732,0.0430327868852459,0.0,0.03350253807106599,0.035256410256410256,2002,0.9693192713326941,0.0273972602739726,0.8872180451127819,0.306553911205074,2000,0.4883720930232558,0.38372093023255816,0.0,0.12790697674418605,0,High,2
Farming Simulator 17,0.6779878278666451,0.04133858267716535,0.0194672131147541,0.004694835680751174,0.05279187817258883,0.041666666666666664,2016,0.07670182166826461,0.0410958904109589,0.37886382623224724,0.39464411557434814,2010,0.2235294117647059,0.611764705882353,0.011764705882352941,0.15294117647058825,1,High,2
LEGO Jurassic World,0.6779878278666451,0.04133858267716536,0.035860655737704916,0.018779342723004695,0.03959390862944163,0.022435897435897436,2015,0.15819750719079578,0.09817351598173515,0.23433583959899748,1.0,2010,0.41176470588235287,0.4588235294117647,0.047058823529411764,0.08235294117647059,1,High,2
Kingdoms of Amalur: Reckoning,0.6779878278666451,0.04133858267716535,0.03790983606557377,0.04225352112676056,0.02944162436548223,0.03205128205128205,2012,0.8072866730584851,0.00228310502283105,0.56265664160401,0.5246652572233967,2010,0.43529411764705883,0.3411764705882353,0.10588235294117647,0.11764705882352942,0,High,2
FIFA Soccer 08,0.6779878278666451,0.04183070866141732,0.010245901639344263,0.0,0.06598984771573604,0.035256410256410256,2007,0.5167785234899328,0.6643835616438356,0.9999999999999999,0.9143763213530656,2000,0.11627906976744187,0.7558139534883721,0.0,0.12790697674418605,0,High,2
Darksiders II,0.8111111111111111,0.04183070866141732,0.035860655737704916,0.004694835680751174,0.03756345177664974,0.041666666666666664,2012,0.6951102588686481,0.01141552511415525,0.56265664160401,0.09267089499647639,2010,0.4069767441860465,0.43023255813953487,0.011627906976744186,0.15116279069767444,0,High,2
Ratatouille,0.5555555555555556,0.04133858267716535,0.031762295081967214,0.0,0.0,0.16987179487179488,2007,0.6951102588686481,0.0319634703196347,0.8872180451127819,0.33474277660324175,2000,0.36470588235294116,0.0,0.0,0.6235294117647059,0,Medium,1
Dragon Ball Z: Burst Limit,0.7,0.04183070866141732,0.022540983606557378,0.08450704225352113,0.03451776649746193,0.03846153846153846,2008,0.32023010546500474,0.0547945205479452,0.56265664160401,0.306553911205074,2000,0.2558139534883721,0.39534883720930236,0.20930232558139533,0.13953488372093023,0,High,2
NCAA Football 11,0.8333333333333333,0.04133858267716536,0.08094262295081968,0.0,0.0,0.01923076923076923,2010,0.5167785234899328,0.4383561643835616,0.56265664160401,0.9143763213530656,2010,0.9294117647058823,0.0,0.0,0.07058823529411763,0,High,2
Castlevania III: Dracula's Curse,0.6779878278666451,0.04133858267716536,0.04098360655737705,0.17370892018779344,0.007106598984771575,0.003205128205128205,1990,0.7363374880153403,0.9315068493150684,0.019632414369256473,0.33474277660324175,1990,0.47058823529411764,0.08235294117647059,0.4352941176470588,0.011764705882352941,0,High,2
Street Fighter Alpha 2,0.7999999999999998,0.04183070866141731,0.01434426229508197,0.2676056338028169,0.00913705583756345,0.01923076923076923,1996,0.41802492809204217,0.6689497716894978,0.4715956558061821,0.306553911205074,1990,0.16279069767441864,0.10465116279069768,0.6627906976744187,0.06976744186046513,0,High,2
Burnout 2: Point of Impact,0.6779878278666451,0.04133858267716535,0.0430327868852459,0.0,0.03248730964467005,0.035256410256410256,2002,0.1860019175455417,0.0684931506849315,0.8872180451127819,0.5038759689922481,2000,0.49411764705882355,0.3764705882352941,0.0,0.12941176470588237,0,High,2
Burnout Legends,0.8222222222222222,0.04133858267716535,0.07172131147540983,0.0,0.006091370558375634,0.02884615384615384,2005,0.8072866730584851,0.0684931506849315,0.5593149540517961,0.5038759689922481,2000,0.8235294117647058,0.07058823529411765,0.0,0.10588235294117647,0,High,2
Street Fighter EX3,0.6779878278666451,0.04133858267716535,0.03278688524590164,0.09389671361502348,0.025380710659898477,0.02564102564102564,2000,0.41802492809204217,0.02511415525114155,0.8872180451127819,0.306553911205074,2000,0.3764705882352941,0.29411764705882354,0.23529411764705885,0.09411764705882353,0,High,2
Tomb Raider: Anniversary,0.6444444444444444,0.04183070866141732,0.012295081967213115,0.0,0.06395939086294417,0.035256410256410256,2007,0.19942473633748803,0.1004566210045662,0.5664160401002506,1.0,2000,0.13953488372093023,0.7325581395348837,0.0,0.12790697674418605,0,Medium,1
2010 FIFA World Cup South Africa,0.8222222222222222,0.04133858267716535,0.03278688524590164,0.009389671361502348,0.04263959390862944,0.02884615384615384,2010,0.5167785234899328,0.6643835616438356,0.5434419381787802,0.9143763213530656,2010,0.3764705882352941,0.49411764705882355,0.023529411764705882,0.10588235294117647,0,High,2
NBA 2K8,0.6779878278666451,0.041830708661417325,0.08094262295081968,0.0,0.0,0.022435897435897436,2007,0.174496644295302,0.30365296803652964,0.5434419381787802,0.9143763213530656,2000,0.9186046511627907,0.0,0.0,0.0813953488372093,0,High,2
